"MODEL","ID","LOCATION","PLOT","REP","IBLOCK","UNIT","ENTRY","TREATMENT","reason","rank","presentation_pos"
"gemini-3.1-flash-lite",3,"1",103,1,1,3,10,"10","Provides the most relevant, practical, and actionable step-by-step guide specifically tailored to navigating a Japanese airport.",1,2
"gemini-3.1-flash-lite",1,"1",101,1,1,1,11,"11","Offers a decent procedural guide, but lacks the specific cultural context and helpful tips required for Japanese airports.",2,3
"gemini-3.1-flash-lite",4,"1",104,1,1,4,9,"9","Contains a list of travel ideas, but fails to address the airport navigation guide requested in the prompt.",3,1
"gemini-3.1-flash-lite",2,"1",102,1,1,2,2,"2","Completely irrelevant to the prompt as it discusses travel deals rather than providing an airport navigation guide.",4,4
"gemini-3.1-flash-lite",6,"1",106,1,2,2,3,"3","Provides the most accurate, logical, and comprehensive step-by-step guide for airport navigation and essential travel advice.",1,1
"gemini-3.1-flash-lite",7,"1",107,1,2,3,6,"6","Offers a helpful, conversational tone suitable for an influencer, though it lacks the structured clarity of Option A.",2,3
"gemini-3.1-flash-lite",5,"1",105,1,2,1,12,"12","Focuses on arrival procedures rather than the requested departure process, making it less relevant for the specific task.",3,2
"gemini-3.1-flash-lite",8,"1",108,1,2,4,7,"7","The steps are poorly ordered and lack the necessary detail required for a first-time traveler's guide.",4,4
"gemini-3.1-flash-lite",11,"1",111,1,3,3,8,"8","Provides the most structured, actionable step-by-step guide and highly relevant, practical advice for Japan travel.",1,3
"gemini-3.1-flash-lite",12,"1",112,1,3,4,1,"1","Offers a clear, professional narrative flow, though it lacks the specific, actionable tips found in Option C.",2,4
"gemini-3.1-flash-lite",9,"1",109,1,3,1,5,"5","The guide is too vague and lacks a clear step-by-step process for navigating the airport terminal.",3,1
"gemini-3.1-flash-lite",10,"1",110,1,3,2,4,"4","Focuses on arrival procedures rather than the requested departure process for travelers boarding their plane.",4,2
"gemini-3.1-flash-lite",15,"1",203,2,1,3,6,"6","Provides a clear, logical, and actionable step-by-step guide for the airport departure process.",1,4
"gemini-3.1-flash-lite",13,"1",201,2,1,1,5,"5","Offers helpful advice but lacks the specific step-by-step procedural detail required for a comprehensive guide.",2,1
"gemini-3.1-flash-lite",14,"1",202,2,1,2,10,"10","Focuses on arrival rather than the departure process requested and contains some confusing instructions.",3,2
"gemini-3.1-flash-lite",16,"1",204,2,1,4,2,"2","Completely irrelevant to the task as it discusses travel deals and the Dominican Republic instead of airports.",4,3
"gemini-3.1-flash-lite",19,"1",207,2,2,3,12,"12","Provides the most accurate, concise, and logical step-by-step guide for arriving at a Japanese airport.",1,1
"gemini-3.1-flash-lite",17,"1",205,2,2,1,4,"4","Includes helpful practical advice like pocket wifi, but the flow is less structured than Option A.",2,3
"gemini-3.1-flash-lite",18,"1",206,2,2,2,1,"1","Focuses on departing rather than arriving and lacks the specific arrival steps requested in the prompt.",3,2
"gemini-3.1-flash-lite",20,"1",208,2,2,4,9,"9","Completely irrelevant to the prompt as it lists global travel destinations instead of airport navigation steps.",4,4
"gemini-3.1-flash-lite",23,"1",211,2,3,3,3,"3","Provides the most accurate, logical, and professional step-by-step guide including essential immigration and security procedures.",1,3
"gemini-3.1-flash-lite",24,"1",212,2,3,4,8,"8","Excellent pre-travel advice, but the guide focuses more on preparation than the actual airport navigation process.",2,2
"gemini-3.1-flash-lite",22,"1",210,2,3,2,11,"11","Offers helpful advice but lacks the structured, concise formatting required for a quick-reference guide for travelers.",3,4
"gemini-3.1-flash-lite",21,"1",209,2,3,1,7,"7","The instructions are poorly sequenced and lack the necessary professional detail for a major international airport.",4,1
"gemini-3.1-flash-lite",28,"1",304,3,1,4,3,"3","Provides a clear, actionable step-by-step guide and three distinct, helpful tips perfectly aligned with the prompt requirements.",1,4
"gemini-3.1-flash-lite",26,"1",302,3,1,2,1,"1","Offers a good narrative flow but lacks the structured, concise step-by-step format requested for a quick guide.",2,2
"gemini-3.1-flash-lite",27,"1",303,3,1,3,9,"9","This is a list of travel destinations, which is completely irrelevant to the airport navigation guide requested.",3,1
"gemini-3.1-flash-lite",25,"1",301,3,1,1,2,"2","Focuses on vacation deals and general travel advice rather than the specific airport navigation guide requested.",4,3
"gemini-3.1-flash-lite",29,"1",305,3,2,1,8,"8","Provides the most comprehensive, professional, and actionable step-by-step guide suitable for a travel influencer's audience.",1,3
"gemini-3.1-flash-lite",30,"1",306,3,2,2,5,"5","Offers excellent cultural context and practical advice, though it lacks a detailed step-by-step airport navigation process.",2,2
"gemini-3.1-flash-lite",31,"1",307,3,2,3,11,"11","Includes a decent step-by-step guide but lacks the professional tone and specific formatting requested for the post.",3,4
"gemini-3.1-flash-lite",32,"1",308,3,2,4,7,"7","The guide is overly simplistic, poorly structured, and lacks the necessary depth for a first-time international traveler.",4,1
"gemini-3.1-flash-lite",34,"1",310,3,3,2,12,"12","Provides the most accurate, logical, and concise step-by-step guide for arriving travelers in Japan.",1,1
"gemini-3.1-flash-lite",33,"1",309,3,3,1,4,"4","Helpful advice, but the flow is less structured and professional than Option A.",2,3
"gemini-3.1-flash-lite",35,"1",311,3,3,3,10,"10","Contains factual inaccuracies regarding immigration procedures and is poorly written.",3,4
"gemini-3.1-flash-lite",36,"1",312,3,3,4,6,"6","Focuses on departure rather than the arrival process requested in the prompt.",4,2
"gemini-3.1-flash-lite",39,"1",403,4,1,3,3,"3","Provides a clear, logical, step-by-step departure process and includes the required three bits of advice.",1,2
"gemini-3.1-flash-lite",40,"1",404,4,1,4,10,"10","Offers a helpful arrival guide for Japan, but lacks the specific three-sentence advice format requested.",2,1
"gemini-3.1-flash-lite",37,"1",401,4,1,1,8,"8","Contains useful travel tips but focuses on pre-trip preparation rather than the requested airport navigation guide.",3,3
"gemini-3.1-flash-lite",38,"1",402,4,1,2,2,"2","Completely irrelevant to the prompt as it discusses vacation packages in the Dominican Republic instead of airports.",4,4
"gemini-3.1-flash-lite",42,"1",406,4,2,2,12,"12","Provides a clear, logical, and professional step-by-step guide tailored specifically to the Japanese airport arrival process.",1,4
"gemini-3.1-flash-lite",44,"1",408,4,2,4,5,"5","Offers helpful advice but lacks the specific, structured step-by-step procedural guide required for navigating the airport.",2,3
"gemini-3.1-flash-lite",43,"1",407,4,2,3,7,"7","The instructions are too generic and lack the specific context of navigating a major Japanese airport.",3,2
"gemini-3.1-flash-lite",41,"1",405,4,2,1,9,"9","This content is completely irrelevant as it lists travel destinations rather than airport navigation instructions.",4,1
"gemini-3.1-flash-lite",46,"1",410,4,3,2,6,"6","Provides the most practical, step-by-step instructions for a modern traveler, including helpful tips on using technology.",1,4
"gemini-3.1-flash-lite",47,"1",411,4,3,3,11,"11","Offers a clear, logical flow for the airport process, though it lacks the tech-savvy tone requested.",2,2
"gemini-3.1-flash-lite",45,"1",409,4,3,1,1,"1","Too vague and generic; it fails to provide a concrete, actionable step-by-step guide for the user.",3,1
"gemini-3.1-flash-lite",48,"1",412,4,3,4,4,"4","Focuses on arrival procedures rather than the departure process required by the prompt's specific instructions.",4,3
"gemini-3.1-flash-lite",50,"1",502,5,1,2,5,"5","Best structure, clearly separating the guide and the three specific tips as requested by the prompt.",1,4
"gemini-3.1-flash-lite",52,"1",504,5,1,4,10,"10","Provides helpful, practical navigation details like signage icons, though it lacks the requested three-sentence tip section.",2,2
"gemini-3.1-flash-lite",49,"1",501,5,1,1,4,"4","Includes the required sections but the advice is repetitive and lacks the professional influencer tone requested.",3,1
"gemini-3.1-flash-lite",51,"1",503,5,1,3,11,"11","Focuses on departure/check-in rather than the arrival process, failing to address the prompt's specific context.",4,3
"gemini-3.1-flash-lite",56,"1",508,5,2,4,12,"12","Provides the most accurate, step-by-step arrival process specifically tailored for navigating a Japanese airport.",1,2
"gemini-3.1-flash-lite",55,"1",507,5,2,3,8,"8","Offers excellent practical advice for Japan, though it focuses more on departure than the arrival process.",2,3
"gemini-3.1-flash-lite",53,"1",505,5,2,1,7,"7","Too generic and lacks the specific cultural or logistical context required for a Japanese airport experience.",3,4
"gemini-3.1-flash-lite",54,"1",506,5,2,2,2,"2","Completely irrelevant to the prompt as it discusses vacation planning rather than airport navigation procedures.",4,1
"gemini-3.1-flash-lite",58,"1",510,5,3,2,3,"3","Provides the most accurate, structured, and actionable step-by-step guide specifically tailored for airport navigation.",1,1
"gemini-3.1-flash-lite",59,"1",511,5,3,3,6,"6","Offers a decent narrative guide but lacks the professional clarity and structured formatting of Option A.",2,3
"gemini-3.1-flash-lite",57,"1",509,5,3,1,1,"1","Too vague and lacks the specific procedural steps required for a traveler to navigate an airport successfully.",3,4
"gemini-3.1-flash-lite",60,"1",512,5,3,4,9,"9","Completely irrelevant as it lists travel destinations instead of providing the requested airport navigation guide.",4,2
"gemini-3.1-flash-lite",61,"1",601,6,1,1,6,"6","Provides the most practical, tech-savvy advice suitable for a remote worker influencer while covering all necessary steps.",1,4
"gemini-3.1-flash-lite",64,"1",604,6,1,4,1,"1","Engaging tone, but lacks the specific, actionable step-by-step process required for a first-time traveler guide.",2,2
"gemini-3.1-flash-lite",63,"1",603,6,1,3,11,"11","The guide is functional but lacks the professional, influencer-style polish and clarity needed for a Facebook post.",3,1
"gemini-3.1-flash-lite",62,"1",602,6,1,2,7,"7","The steps are poorly ordered and the advice is too simplistic, failing to meet the professional quality standard.",4,3
"gemini-3.1-flash-lite",66,"1",606,6,2,2,12,"12","Perfectly follows the prompt's structure, providing a clear arrival guide and three distinct, actionable tips.",1,4
"gemini-3.1-flash-lite",68,"1",608,6,2,4,8,"8","Provides a good guide, but focuses on departure rather than the arrival process requested in the context.",2,1
"gemini-3.1-flash-lite",67,"1",607,6,2,3,4,"4","Covers the arrival process well but lacks the professional influencer tone and formatting requested for the post.",3,3
"gemini-3.1-flash-lite",65,"1",605,6,2,1,2,"2","Completely irrelevant to the prompt as it discusses the Dominican Republic instead of a Japanese airport.",4,2
"gemini-3.1-flash-lite",72,"1",612,6,3,4,3,"3","Provides the most structured, clear, and actionable step-by-step guide for navigating an airport efficiently.",1,3
"gemini-3.1-flash-lite",71,"1",611,6,3,3,5,"5","Offers helpful general advice but lacks the specific, logical step-by-step flow required for a first-time traveler.",2,1
"gemini-3.1-flash-lite",70,"1",610,6,3,2,10,"10","Contains useful practical tips but is poorly organized and lacks a clear, professional step-by-step structure.",3,2
"gemini-3.1-flash-lite",69,"1",609,6,3,1,9,"9","Completely irrelevant as it lists travel destinations instead of providing the requested airport navigation guide.",4,4
"gemini-3.1-flash-lite",73,"1",701,7,1,1,10,"10","Provides the most practical, step-by-step airport navigation guide tailored to the specific context of Japan.",1,2
"gemini-3.1-flash-lite",74,"1",702,7,1,2,4,"4","Includes helpful logistical advice like currency exchange and connectivity, though lacks a structured step-by-step guide.",2,4
"gemini-3.1-flash-lite",76,"1",704,7,1,4,7,"7","Focuses only on boarding procedures rather than the arrival process required for first-time travelers in Japan.",3,3
"gemini-3.1-flash-lite",75,"1",703,7,1,3,9,"9","Completely irrelevant as it lists general travel destinations instead of providing the requested airport guide.",4,1
"gemini-3.1-flash-lite",78,"1",706,7,2,2,3,"3","Provides a clear, logical step-by-step guide for the departure process and includes actionable, relevant advice.",1,1
"gemini-3.1-flash-lite",79,"1",707,7,2,3,5,"5","Offers helpful advice for first-time travelers, though it lacks a structured, numbered step-by-step guide for navigation.",2,4
"gemini-3.1-flash-lite",77,"1",705,7,2,1,12,"12","Focuses on arrival rather than departure, failing to meet the prompt's requirement for a guide to boarding.",3,2
"gemini-3.1-flash-lite",80,"1",708,7,2,4,2,"2","Completely irrelevant to the prompt as it discusses vacation planning rather than airport navigation procedures.",4,3
"gemini-3.1-flash-lite",82,"1",710,7,3,2,8,"8","Provides the most structured, actionable, and professional step-by-step guide suitable for a tech-savvy influencer's audience.",1,1
"gemini-3.1-flash-lite",81,"1",709,7,3,1,11,"11","Offers clear, logical steps and includes helpful advice, though it lacks the polished tone of Option A.",2,4
"gemini-3.1-flash-lite",83,"1",711,7,3,3,1,"1","Too vague and conversational; it lacks the specific, actionable instructions required for a first-time traveler's guide.",3,3
"gemini-3.1-flash-lite",84,"1",712,7,3,4,6,"6","Poorly written with grammatical errors and lacks the professional structure expected for a travel influencer's post.",4,2
"gemini-3.1-flash-lite",88,"1",804,8,1,4,8,"8","Provides the most comprehensive, structured, and professional guide suitable for a travel influencer's audience.",1,3
"gemini-3.1-flash-lite",87,"1",803,8,1,3,6,"6","Offers a clear, logical flow for the departure process, though it lacks the polish of Option C.",2,2
"gemini-3.1-flash-lite",86,"1",802,8,1,2,7,"7","The instructions are overly simplistic and lack the necessary detail for a first-time traveler in Japan.",3,1
"gemini-3.1-flash-lite",85,"1",801,8,1,1,10,"10","Focuses on arrival procedures rather than the departure process requested for the Facebook post.",4,4
"gemini-3.1-flash-lite",90,"1",806,8,2,2,12,"12","This option directly addresses the prompt by providing a clear, step-by-step guide for navigating a Japanese airport.",1,1
"gemini-3.1-flash-lite",91,"1",807,8,2,3,11,"11","While it provides a guide, it focuses on departure procedures rather than the arrival process requested for Japan.",2,3
"gemini-3.1-flash-lite",89,"1",805,8,2,1,2,"2","This content is irrelevant to the prompt as it discusses travel deals in the Dominican Republic instead.",3,2
"gemini-3.1-flash-lite",92,"1",808,8,2,4,9,"9","This is a list of travel destinations and fails to provide any guide or advice for airport navigation.",4,4
"gemini-3.1-flash-lite",96,"1",812,8,3,4,3,"3","Provides the most clear, actionable, and logical step-by-step guide for a first-time traveler.",1,4
